id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
35539905,NewOpenWhiteVilla~SHINJUKU W HOUSE~BestFamilyRoom~,62389310,Arisa,Shinjuku Ku,35.69836,139.69053,Entire home/apt,20014,2,0,,,7,321
35540677,NewOpenWhiteVilla~SHINJUKU W HOUSE~BestFamilyRoom~,62389310,Arisa,Shinjuku Ku,35.69624,139.68921,Entire home/apt,20014,2,0,,,7,330
35548125,5 min walk JR IKEBUKURO good access all Tokyo★101,209183758,Yuka,Toshima Ku,35.73136,139.70801,Entire home/apt,6994,1,0,,,13,48
35548712,Akabene  5mins to the nearest station!,218849633,Sihou,Kita Ku,35.77812,139.72513,Private room,10975,2,0,,,15,81
35550009,ASAKUSA NARUTO HOUSE near by Ueno Akihabara,267481408,Hyongsu,Taito Ku,35.72397,139.77596,Entire home/apt,9792,1,0,,,3,56
35550687,羽田空港近く☆新築の和ﾓﾀﾞﾝなﾌﾟﾗｲﾍﾞｰﾄﾙｰﾑ#4,194615016,美奈子,Ota Ku,35.55624,139.73281,Entire home/apt,6348,1,0,,,17,4
35557217,Shinjuku丨4min from station丨portable wifi丨one-502,264412540,Sarah,Shinjuku Ku,35.6967,139.68974,Entire home/apt,12051,1,0,,,8,86
35559022,sta 4min from nishi-shinjuku sta Free WiFi one-702,264412540,Sarah,Shinjuku Ku,35.69498,139.69015,Entire home/apt,12051,1,0,,,8,123
35561463,浅草･上野近く!三ﾉ輪駅から徒歩3分 ﾄﾘﾌﾟﾙﾙｰﾑと和室のあるの広い部屋 最大6名 ﾍﾞﾗﾝﾀﾞ付,156866616,真介,Taito Ku,35.72801,139.78981,Private room,18400,1,0,,,4,181
35562016,OPEN SALE‼池袋駅まで徒歩12分☆新宿渋谷ｴﾘｱ!浅草も近い!FREEWifi,221304985,Trust,Toshima Ku,35.73519,139.72156,Entire home/apt,15064,2,0,,,4,50
35572376,NewOpenWhiteVilla~SHINJUKU W HOUSE~BestFamilyRoom~,62389310,Arisa,Shinjuku Ku,35.69679,139.69099,Entire home/apt,10975,2,0,,,7,235
35580810,"3mins to Ikebukuro, 65㎡, 2 bedrooms",58103809,Yong,Bunkyo Ku,35.72596,139.72706,Entire home/apt,14957,2,0,,,6,153
35580986,▼NEW OPEN▼5 mins to Kabukicho! 22 pax / Wifi/3AB,38092840,Sayaka  &    Riku,Shinjuku Ku,35.697,139.70599,Entire home/apt,79948,2,0,,,16,146
35582401,下町谷根千の宿,148208245,Tomo,Bunkyo Ku,35.72839,139.76378,Entire home/apt,12051,1,0,,,1,340
35583101,新大久保步行3分钟舒适公寓､紧邻韩国街｡,267239974,Li,Shinjuku Ku,35.70352,139.7007,Entire home/apt,7962,1,0,,,1,87
35583537,[Guiness's Certification]Close to Tokyo Disney Resort's Maihama Station.Funny robot staffs. Standard Triple Room,267735053,変なﾎﾃﾙ舞浜 東京ﾍﾞｲ,Edogawa Ku,35.64452,139.88644,Private room,20014,1,0,,,2,243
35583540,[Guiness's Certification]Close to Tokyo Disney Resort's Maihama Station.Funny robot staffs. Upper floor's Triple Room,267735053,変なﾎﾃﾙ舞浜 東京ﾍﾞｲ,Edogawa Ku,35.64561,139.88742,Private room,20014,1,0,,,2,258
35583574,Shinjuku Sta 10min/subway 4min/Suitable for family,70438155,MingJuan,Shinjuku Ku,35.69669,139.70256,Entire home/apt,20014,2,1,2019-06-22,1,8,60
35585245,Hotel Reyado Kudan: Deluxe Room,267747815,王,Chiyoda Ku,35.69306,139.74368,Private room,43148,1,0,,,2,333
